PARENT ROM    CLONE(S)                                          DESCRIPTION
============  ================================================  ================================================
aafb          aafbd2p                                           All American Football (2-Player)
aburner2      aburner                                           Afterburner (Original)
ajax          typhoon                                           Typhoon (Different stage order)
alien3        alien3u                                           Alien 3 (Uncensored version)
avsp          avspj                                             Alien vs Predator (Japan - No lag)
baddudes      drgninja                                          Dragonninja (Japan - Better Music/Ending)
batsugun      batsugunsp                                        Batsugun Special Version (English)
bublbobl      sboblbobla,bublcave                               Super Bubble Bobble + Lost Cave
cabal         cabalus                                           Cabal (Trackball Version)
captaven      captavenu                                         Captain America (US Version)
captcomm      captcommb2                                        Captain Commando (2-Player/Char Select)
combatsc      combatsct                                         Combat School (Trackball Version)
cyberbal      cyberbal2p                                        Cyberball (2-Player Layout)
ddonpach      ddonpacha                                         DoDonPachi (Arrange mode)
ddragon       ddragonb (wrong clone name? can't find more info) Double Dragon (Faster CPU/No Slowdown)
ddcrew        ddcrew2                                           D. D. Crew (2-Player/Char Select)
ddp3          ddpdojblk                                         DoDonPachi DOJ (Black Label)
digdug        digdugat                                          Dig Dug Arranged/Atari version
dino          dinou                                             Cadillacs & Dinosaurs (2-Player/Char Select)
dkong         dkongf,dkonghrd,dkongpe,dkongx11                  Donkey Kong variants
elim2         elim4                                             Eliminator (4-Player Vector)
ffight        ffightae                                          30th Anniversary
galaga        galagamf,galagao                                  Galaga (Fast Shoot + Extra Features)
galaxian      galturbo,galapx                                   Galaxian Turbo + Part X (Faster fire rate)
gaunt2        gaunt22p                                          Gauntlet II (2-Player Version)
gauntlet      gauntlet2p                                        Gauntlet (2-Player Version)
ghouls        daimakai                                          Ghouls 'n Ghosts (Japan - Fairer)
ghostlop      ghostlop                                          Ghostlop (Unreleased Game)
gt2k          gt2kt500                                          Golden Tee 2000 Tournament
guwange       guwanges                                          Guwange Special
gwar          gwarb                                             Guerrilla War (Joystick Hack)
hharry        hharryu                                           Hammerin' Harry (English)
ikari         ikariram,ikarijpb                                 Rambo III + Ikari Warriors Joystick Hack
ikari3        ikari3u                                           Ikari III (Rotary Version)
joust         joustr                                            Joust (Fixes Pterodactyl Bug)
junglek       piratpet                                          Pirate Pete (Pirate Skin for Jungle Hunt)
kchamp        kchampvs2                                         Karate Champ (2-Player Vs Version)
knights       knightsu                                          Knights of the Round (2-Player/Char Select)
kof2002       kf2k5uni,kf2k2mp2                                 KOF 2002 (Anniversary 2005 + Magic Plus II)
landmakr      landmakrp                                         Land Maker (English Translation)
mainevt       mainevt2p                                         Main Event (2-Player)
mercs         mercsu                                            Mercs/Senjo no Okami II (Better version)
mhavoc        mhavocrv                                          Major Havoc (Return to Vax)
mshvsf        mshvsfj                                           Marvel vs SF (Japan - Norimaro)
mslug2        mslug2t                                           Metal Slug 2 Turbo (No Slowdown/Lag)
mspacman      mspactwin,mspacmnf,pacgal,mschamp,mschamps,msheartb,mspacii,mspacpls  Ms. Pac-Man variants
nbahangt      nbamht                                            NBA Maximum Hangtime (Roster update?)
nslasher      nslasherj                                         Night Slashers (Japan - Red Blood)
offroad       offroadt2p                                        Ironman I.S. Super Off Road (2-Player)
pacman        pacmanf                                           Pac-Man Fast version
peggle        pegglet                                           Peggle (Trackball Version)
puckman       puckmanf,hangly,pacplus,piranha,abscam,popeyeman,ctrpllrp  Multiple Pac-Man variants
pulirula      pulirulaj                                         PuLiRuLa (Japan - Uncensored)
punisher      punisherj                                         Punisher (Japan - More violent/uncensored)
punkshot      punkshot2                                         Punk Shot (2-Player)
qix           qix2                                              Qix II Tournament
quartet       quartet2a                                         Quartet 2 (2-Player, No Emulation Protection)
raiden        raidena  (wrong clone name, what is correct?)     Raiden (Autofire version)
raiden2       raiden2e                                          Raiden II (Autofire version)
rambo3        rambo3u                                           Rambo III (US version, different ending)
rampart       rampart2p                                         Rampart (Joystick Version)
redufo        exodus                                            Defend the Terra Attack (Improved Graphics)
robotron      robotron87                                        Robotron (Fixes attract mode bugs)
robocop2      robocop2j                                         Robocop 2 (Japan - Extra level/scene)
salamand      lifefrce                                          Lifeforce (Gradius-style Powerups)
sf2           sf2hf                                             SFII Hyper Fighting (Speed Fix)
sf2ce         sf2rb,sf2v004                                     SFII variants
sf2hf         sf2hfj                                            SF2 Hyper Fighting (Japan turbo version)
sfa3          sfa3u                                             SF Alpha 3 Upper (Bonus Characters)
shadoww       gaiden,ryukendn                                   Ninja Gaiden (US + Japan versions)
silentd       silentdj                                          Silent Dragon (Japan - Violent)
simpsons      simpsons2p,simpsons2pj                            Simpsons (2-Player + Japan with fixes)
snowbros      snowbro3                                          Snow Bros 3 (Magical Adventure)
ssf2t         ssf2xj                                            SSF2 X Grand Master
ssriders      ssridersubc                                       Sunset Riders (2-Player/Char Select)
strider       striderua                                         Strider (US version, speedhacks available)
tempest       temptube                                          Tempest Tubes (New Shapes)
tmnt          tmnt2po                                           TMNT (2-Player/Char Select)
tmnt2         tmnt22pu                                          TMNT 2 Turtles in Time (2-Player)
trackfld      atlantol                                          Atlant Olympic (Atlanta Olympics variant)
trog          trogpa4                                           Prototype, plays more stategic like
twinkle       twinklea                                          Twinkle Star Sprites (English)
uccops        uccopsar                                          Undercover Cops (Alpha - More Moves)
vendetta      vendetta2peba,vendetta2pu                            Vendetta (2P World + 2P Asian Uncensored)
wbml          wbmlb                                             Wonder Boy Monster Land (English Bootleg)
xexex         xexexj                                            Xexex (Japan - Health Bar/Weapons)
xmen          xmen6p,xmen2pa                                    X-Men (6-Player Dual Screen + 2-Player)
zeroteam      zerotm2k,nzeroteam                                Zero Team 2000 + New Zero Team
1942          1942h                                             1942 Supercharger (Faster/Rapid Fire)
1943          1943kai                                           1943 Kai (Better balanced, faster)
